Company Name,Revenue,Total Assets,Total Liabilities,Current Assets,Current Liabilities,Net Income
TechCorp Inc,1000000,2500000,1500000,800000,400000,150000
InnovateLtd,750000,1800000,1200000,600000,300000,112500
GrowthCo,1200000,3000000,1800000,950000,500000,180000
StableFirm,850000,2200000,1300000,700000,350000,127500
DynamicInc,950000,2400000,1400000,750000,400000,142500
ProspectCorp,1100000,2800000,1600000,850000,450000,165000
VentureLtd,800000,2000000,1100000,650000,320000,120000
ExpansionCo,1300000,3200000,1900000,1000000,520000,195000
ProgressInc,900000,2300000,1350000,720000,380000,135000
AdvanceLtd,1050000,2600000,1550000,800000,420000,157500
SteadyFirm,780000,1900000,1150000,620000,310000,117000
RiseCorp,1150000,2900000,1750000,900000,470000,172500
FlexiInc,820000,2100000,1250000,680000,340000,123000
AdaptCo,980000,2450000,1450000,770000,390000,147000
TrendLtd,1080000,2700000,1620000,830000,430000,162000
MomentumInc,890000,2250000,1320000,710000,360000,133500
PivotCorp,1020000,2550000,1520000,790000,410000,153000
AgileInc,950000,2400000,1400000,750000,400000,142500
ShiftLtd,1070000,2650000,1580000,820000,440000,160500
EvolveCorp,930000,2350000,1380000,740000,370000,139500
TransformInc,1010000,2500000,1500000,780000,400000,151500
ReformLtd,860000,2150000,1280000,690000,350000,129000
RevolutionCo,1140000,2850000,1710000,880000,460000,171000
ChangeCorp,940000,2380000,1420000,760000,380000,141000
ModifyInc,1060000,2630000,1570000,810000,420000,159000
AlterLtd,880000,2200000,1300000,700000,350000,132000
AdjustCorp,1000000,2500000,1500000,800000,400000,150000
RefineInc,920000,2320000,1390000,730000,370000,138000
EnhanceLtd,1090000,2720000,1630000,840000,440000,163500
OptimizeCorp,970000,2430000,1450000,770000,390000,145500
